Epoch	 Loss	 AccuracyTrain	 AccuracyVal
    0 	 50526.5    	   3.9	   4.5
    1 	 49406.0    	   3.9	   4.5
    2 	 48313.7    	   3.9	   4.4
    3 	 47252.6    	   3.9	   4.4
    4 	 46218.5    	   3.8	   4.4
    5 	 45218.4    	   3.8	   4.4
    6 	 44251.2    	   3.8	   4.3
    7 	 43317.6    	   3.8	   4.3
    8 	 42415.1    	   3.8	   4.3
    9 	 41536.6    	   3.8	   4.3
   10 	 40689.4    	   3.7	   4.2
   11 	 39868.2    	   3.7	   4.2
   12 	 39076.3    	   3.7	   4.2
   13 	 38313.4    	   3.7	   4.2
   14 	 37579.3    	   3.7	   4.1
   15 	 36872.2    	   3.7	   4.1
   16 	 36192.4    	   3.6	   4.1
   17 	 35538.9    	   3.6	   4.1
   18 	 34911.2    	   3.6	   4.1
   19 	 34307.3    	   3.6	   4.0
   20 	 33724.3    	   3.6	   4.0
   21 	 33163.5    	   3.6	   4.0
   22 	 32624.4    	   3.6	   4.0
   23 	 32103.9    	   3.5	   3.9
   24 	 31602.4    	   3.5	   3.9
   25 	 31119.5    	   3.5	   3.9
   26 	 30655.2    	   3.5	   3.9
   27 	 30208.4    	   3.5	   3.9
   28 	 29778.2    	   3.5	   3.8
   29 	 29362.4    	   3.5	   3.8
   30 	 28961.8    	   3.4	   3.8
   31 	 28576.3    	   3.4	   3.8
   32 	 28204.6    	   3.4	   3.8
   33 	 27846.5    	   3.4	   3.7
   34 	 27501.6    	   3.4	   3.7
   35 	 27168.6    	   3.4	   3.7
   36 	 26847.1    	   3.4	   3.7
   37 	 26537.0    	   3.4	   3.7
   38 	 26237.8    	   3.4	   3.7
   39 	 25949.0    	   3.4	   3.6
   40 	 25670.3    	   3.3	   3.6
   41 	 25401.4    	   3.3	   3.6
   42 	 25141.6    	   3.3	   3.6
   43 	 24890.5    	   3.3	   3.6
   44 	 24647.7    	   3.3	   3.6
   45 	 24412.9    	   3.3	   3.6
   46 	 24185.9    	   3.3	   3.6
   47 	 23966.3    	   3.3	   3.5
   48 	 23753.5    	   3.3	   3.5
   49 	 23547.2    	   3.3	   3.5
   50 	 23347.4    	   3.3	   3.5
   51 	 23153.5    	   3.3	   3.5
   52 	 22965.5    	   3.3	   3.5
   53 	 22783.2    	   3.2	   3.5
   54 	 22606.4    	   3.2	   3.5
   55 	 22435.0    	   3.2	   3.5
   56 	 22268.5    	   3.2	   3.4
   57 	 22106.5    	   3.2	   3.4
   58 	 21948.7    	   3.2	   3.4
   59 	 21795.5    	   3.2	   3.4
   60 	 21646.7    	   3.2	   3.4
   61 	 21502.0    	   3.2	   3.4
   62 	 21361.5    	   3.2	   3.4
   63 	 21224.9    	   3.2	   3.4
   64 	 21092.1    	   3.2	   3.4
   65 	 20962.9    	   3.2	   3.4
   66 	 20837.4    	   3.2	   3.4
   67 	 20715.2    	   3.2	   3.4
   68 	 20596.4    	   3.2	   3.3
   69 	 20480.7    	   3.2	   3.3
   70 	 20368.0    	   3.1	   3.3
   71 	 20258.4    	   3.1	   3.3
   72 	 20151.7    	   3.1	   3.3
   73 	 20047.7    	   3.1	   3.3
   74 	 19946.4    	   3.1	   3.3
   75 	 19847.8    	   3.1	   3.3
   76 	 19751.7    	   3.1	   3.3
   77 	 19657.9    	   3.1	   3.3
   78 	 19566.6    	   3.1	   3.3
   79 	 19477.5    	   3.1	   3.3
   80 	 19390.7    	   3.1	   3.3
   81 	 19306.1    	   3.1	   3.3
   82 	 19223.5    	   3.1	   3.2
   83 	 19142.9    	   3.1	   3.2
   84 	 19064.3    	   3.1	   3.2
   85 	 18987.5    	   3.1	   3.2
   86 	 18912.4    	   3.1	   3.2
   87 	 18839.1    	   3.1	   3.2
   88 	 18767.4    	   3.1	   3.2
   89 	 18697.2    	   3.1	   3.2
   90 	 18628.7    	   3.1	   3.2
   91 	 18561.6    	   3.1	   3.2
   92 	 18496.0    	   3.1	   3.2
   93 	 18431.9    	   3.1	   3.2
   94 	 18369.0    	   3.1	   3.2
   95 	 18307.6    	   3.1	   3.2
   96 	 18247.4    	   3.1	   3.2
   97 	 18188.5    	   3.1	   3.2
   98 	 18130.8    	   3.1	   3.2
   99 	 18074.3    	   3.0	   3.2
  100 	 18019.0    	   3.0	   3.1
  101 	 17964.8    	   3.0	   3.1
  102 	 17911.3    	   3.0	   3.1
  103 	 17858.8    	   3.0	   3.1
  104 	 17807.3    	   3.0	   3.1
  105 	 17756.8    	   3.0	   3.1
  106 	 17707.2    	   3.0	   3.1
  107 	 17658.5    	   3.0	   3.1
  108 	 17610.8    	   3.0	   3.1
  109 	 17563.9    	   3.0	   3.1
  110 	 17517.9    	   3.0	   3.1
  111 	 17472.8    	   3.0	   3.1
  112 	 17428.4    	   3.0	   3.1
  113 	 17384.9    	   3.0	   3.1
  114 	 17342.2    	   3.0	   3.1
  115 	 17300.3    	   3.0	   3.1
  116 	 17259.1    	   3.0	   3.1
  117 	 17218.7    	   3.0	   3.1
  118 	 17179.1    	   3.0	   3.1
  119 	 17140.1    	   3.0	   3.1
  120 	 17101.9    	   3.0	   3.1
  121 	 17064.2    	   3.0	   3.1
  122 	 17027.1    	   3.0	   3.1
  123 	 16990.6    	   3.0	   3.0
  124 	 16954.8    	   3.0	   3.0
  125 	 16919.6    	   3.0	   3.0
  126 	 16885.0    	   3.0	   3.0
  127 	 16851.1    	   3.0	   3.0
  128 	 16817.7    	   3.0	   3.0
  129 	 16784.9    	   3.0	   3.0
